name,overall_score,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score,power_diversity_score,alignment_encoded,lore_depth_score,nlp_ability,nlp_able,nlp_battle,nlp_black,nlp_body,nlp_control,nlp_death,nlp_earth,nlp_energy,nlp_eventually,nlp_father,nlp_fight,nlp_force,nlp_form,nlp_help,nlp_hulk,nlp_human,nlp_later,nlp_life,nlp_man,nlp_men,nlp_new,nlp_power,nlp_powers,nlp_sonic,nlp_team,nlp_time,nlp_use,nlp_used,nlp_world,power_tier
3-D Man,6.0,0.0,0.0,0.5,0.0909090909090909,-0.5833333333333334,-0.1428571428571428,-0.6666666666666666,0.0,-0.1901165654243966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.350842321130058,0.0,0.0,0.0,5.598468597866856,0.0,0.0,0.0,0.0,5.012188310913535,0.0,1
514A (Gotham),10.0,0.75,-0.1818181818181818,-0.25,-0.0909090909090909,-0.6666666666666666,0.7142857142857143,-0.5555555555555556,2.0,0.8757182728615991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.034688248730531,0.0,0.0,0.2341238210062838,0.0,0.0,0.0,0.0,0.0,0.8439656088160592,0.0,0.0,0.0,1
A-Bomb,20.0,-0.25,1.2727272727272727,1.0,0.8181818181818182,0.4166666666666667,0.1428571428571428,1.5555555555555556,0.0,1.563290100147759,0.756935942977518,0.6494198601144314,0.5383395548521033,0.0,0.3892291391905927,0.0,0.6127798319892328,0.5356773187859918,1.362580937806178,0.2419893859142927,0.5213943957071766,0.0,3.350028637079694,1.5619743117652334,0.8110804710565547,0.9646087653941134,0.595238017163076,0.4594342942352506,0.3780586174318516,0.3217118081223273,0.0,0.2298337962539893,0.1399598096495587,0.0,0.0,0.0,0.3855179202605505,0.4513090969654208,0.4812163658031466,0.0,1
Aa,12.0,-0.25,0.3636363636363636,0.375,-0.1818181818181818,0.4166666666666667,-0.5714285714285714,-0.1111111111111111,0.0,1.5879165982597274,0.0,0.0,6.278991354080175,0.0,1.1349557995999506,0.0,0.0,6.2479400276618025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1023836019453632,0.0,0.0,4.021043242728159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Aaron Cash,5.0,-0.25,-0.3636363636363636,-0.375,-0.2727272727272727,-0.75,-0.7142857142857143,-0.6666666666666666,0.0,-0.3168609423739944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Aayla Secura,8.0,0.25,0.1818181818181818,0.125,0.0,-0.3333333333333333,0.2857142857142857,-0.6666666666666666,0.0,-0.1034312920702676,0.0,0.0,0.0,0.0,9.196765885064153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Abe Sapien,10.0,0.5,0.0,-0.125,0.1818181818181818,0.4166666666666667,0.2857142857142857,0.5555555555555556,0.0,1.2204892464291577,0.0,0.0,0.0,0.1175286723498222,3.511541225124646,0.0,1.3820918228462065,2.4163825352245234,3.073227730088095,0.0,0.0,0.0,0.0,4.697264957907411,1.829348206644651,0.0,1.3425272067092648,0.0,6.821526381022089,0.0,0.120605708060903,1.5551331514216085,0.0,0.6061563997576891,0.0,0.0,1.3042722785681,1.0179032989176018,0.0,1.4175775881162904,1
Abin Sur,9.0,-0.5,1.0909090909090908,0.375,0.1818181818181818,0.4166666666666667,-0.2857142857142857,-0.8888888888888888,0.0,0.4285010671482515,0.0,0.0,3.92080788542462,0.1897582524724361,0.0,2.264578881890765,4.46296761149683,5.852127630068653,0.0,5.287335199115067,3.797393744672031,0.0,0.0,3.79203122094091,0.0,0.0,0.0,1.6730645068120134,1.3767288647281,1.1715377244263303,0.0,0.0,1.0193483283376366,0.0,0.0,0.0,1.403892476510786,0.0,0.0,2.2887780529365007,1
Abomination,22.0,0.0,1.2727272727272727,1.0,0.6363636363636364,0.4166666666666667,0.5714285714285714,1.0,-1.0,0.5000820883270399,0.5123378365513915,0.4395647600452466,0.0,0.0,0.0,0.6313740641347547,1.2442940369645523,0.0,0.0,0.0,0.0,0.0,0.0,1.0572341650083557,0.0,0.979354143304054,1.208674105553189,0.4664573822853761,0.0,0.0,0.0,0.2333471234222913,0.2841985774830459,0.2728605947950546,0.0,0.0,0.1957055471970917,0.4582079801475887,0.0,0.0,2
Abra Kadabra (CW),13.0,0.75,-0.3636363636363636,-0.5,-0.4545454545454545,0.4166666666666667,-0.5714285714285714,-0.3333333333333333,-1.0,-0.2341159087177803,3.0133020275960862,3.877933528059664,0.0,0.0,4.648471109888866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3020744520852676,2.694938646212867,0.0,0.0,1
Abra Kadabra,29.0,0.75,-0.3636363636363636,-0.375,0.2727272727272727,0.4166666666666667,0.1428571428571428,0.2222222222222222,-1.0,-0.3293383680840584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Abraxas,,0.75,1.2727272727272727,1.5,0.8181818181818182,0.4166666666666667,0.7142857142857143,1.1111111111111112,-1.0,0.4826793629945822,0.0,0.0,0.9793401946155484,0.0,0.0,0.0,1.1147609617533825,10.719467989912925,0.0,0.0,0.0,0.0,0.0,1.8943486661052344,0.0,0.0,2.1656982486869647,0.0,0.6877592341761178,0.0,0.0,0.0,0.0,0.9778214153315928,0.0,0.0,0.3506645495884781,0.0,0.8754224449795681,4.573531597153226,2
